# Directed graph (each unordered pair of nodes is saved once): Amazon0302.txt 
# Amazon product co-purchaisng network from March 02 2003
# Nodes: 262111 Edges: 1234877
ProductID	ProductID_Copurchased
0	1
0	2
0	3
0	4
0	5
1	0
1	2
1	4
1	5
1	15
2	0
2	11
2	12
2	13
2	14
3	63
3	64
3	65
3	66
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
3	67
3   67
